location,lats,longs
"Kolagallu                                         ,Karnataka                                         ",15.15,76.92
"Bagalur                                           ,Karnataka                                         ",13.13,77.67
"Bellary                                           ,Karnataka                                         ",15.1,76.92
"Shivpuri                                          ,MadhyaPradesh                                     ",25.43,77.65
"Panna                                             ,MadhyaPradesh                                     ",24.72,80.2
"Dharampuri                                        ,MadhyaPradesh                                     ",22.15,75.34
"Damoh                                             ,MadhyaPradesh                                     ",23.83,79.44
"Gwalior                                           ,MadhyaPradesh                                     ",26.22,78.18
"Ashoknagar                                        ,MadhyaPradesh                                     ",24.58,77.73
"Bhopal                                            ,MadhyaPradesh                                     ",23.25,77.42
"Tikamgarh                                         ,MadhyaPradesh                                     ",24.75,78.85
"Umaria                                            ,MadhyaPradesh                                     ",23.52,80.84
"Dewas                                             ,MadhyaPradesh                                     ",22.96,76.06
"Harda Khas                                        ,MadhyaPradesh                                     ",22.34,77.1
"Anuppur                                           ,MadhyaPradesh                                     ",23.1,81.69
"Jabalpur                                          ,MadhyaPradesh                                     ",23.17,79.93
"Harduli                                           ,MadhyaPradesh                                     ",22.93,79.9
"Singrauliya                                       ,MadhyaPradesh                                     ",24.11,82.39
"Morena                                            ,MadhyaPradesh                                     ",26.5,78.0
"Sheopur                                           ,MadhyaPradesh                                     ",25.67,76.7
"Singoli                                           ,MadhyaPradesh                                     ",24.97,75.3
"Ratlam                                            ,MadhyaPradesh                                     ",23.33,75.04
"Seoni Malwa                                       ,MadhyaPradesh                                     ",22.45,77.47
"Khandwa                                           ,MadhyaPradesh                                     ",21.82,76.35
"Singhana                                          ,MadhyaPradesh                                     ",22.19,74.97
"Seoni                                             ,MadhyaPradesh                                     ",22.08,79.53
"Shahgarh                                          ,MadhyaPradesh                                     ",24.31,79.12
"Rajgarh                                           ,MadhyaPradesh                                     ",23.36,75.92
"Indore                                            ,MadhyaPradesh                                     ",22.72,75.85
"Shahpur                                           ,MadhyaPradesh                                     ",22.57,77.64
"Tikar                                             ,MadhyaPradesh                                     ",24.42,81.38
"Mandleshwar                                       ,MadhyaPradesh                                     ",22.18,75.66
"Sidhi                                             ,MadhyaPradesh                                     ",24.42,81.88
"Seondha                                           ,MadhyaPradesh                                     ",26.15,78.78
"Dhar                                              ,MadhyaPradesh                                     ",22.6,75.3
"Chhatarpur                                        ,MadhyaPradesh                                     ",24.92,79.59
"Betul Bazar                                       ,MadhyaPradesh                                     ",21.92,77.9
"Vidisha                                           ,MadhyaPradesh                                     ",23.52,77.81
"Burhar                                            ,MadhyaPradesh                                     ",23.21,81.53
"Rewa                                              ,MadhyaPradesh                                     ",24.53,81.3
"Shahpura                                          ,MadhyaPradesh                                     ",23.16,80.18
"Khargone                                          ,MadhyaPradesh                                     ",21.82,75.61
"Sehore                                            ,MadhyaPradesh                                     ",23.2,77.08
"Seoni Chhapara                                    ,MadhyaPradesh                                     ",22.39,79.54
"Dindori                                           ,MadhyaPradesh                                     ",22.94,81.08
"Chhindwara                                        ,MadhyaPradesh                                     ",22.06,78.94
"Barwah                                            ,MadhyaPradesh                                     ",22.25,76.04
"Shahganj                                          ,MadhyaPradesh                                     ",22.85,77.8
"Satna                                             ,MadhyaPradesh                                     ",24.6,80.83
"Datia                                             ,MadhyaPradesh                                     ",25.67,78.47
"Raisen                                            ,MadhyaPradesh                                     ",23.33,77.8
"Ujjain                                            ,MadhyaPradesh                                     ",23.17,75.79
"Khaniadhana                                       ,MadhyaPradesh                                     ",25.03,78.13
"Shajapur                                          ,MadhyaPradesh                                     ",23.43,76.28
"Chhapera                                          ,MadhyaPradesh                                     ",23.89,76.45
"Mandla                                            ,MadhyaPradesh                                     ",22.6,80.38
"Bhind                                             ,MadhyaPradesh                                     ",26.56,78.79
"Barwani                                           ,MadhyaPradesh                                     ",22.03,74.9
"Kharsod B                                         ,MadhyaPradesh                                     ",23.22,75.39
"Hoshangabad                                       ,MadhyaPradesh                                     ",22.75,77.73
"Shahdol                                           ,MadhyaPradesh                                     ",23.28,81.35
"Guna                                              ,MadhyaPradesh                                     ",24.65,77.32
"Khargapur                                         ,MadhyaPradesh                                     ",24.82,79.14
"Burhanpur                                         ,MadhyaPradesh                                     ",21.3,76.23
"Jhabua                                            ,MadhyaPradesh                                     ",22.77,74.59
"Mandsaur                                          ,MadhyaPradesh                                     ",24.03,75.08
"Narsinghgarh                                      ,MadhyaPradesh                                     ",23.7,77.1
"Bishenpur                                         ,Manipur                                           ",24.63,93.76
"Thoubal                                           ,Manipur                                           ",24.63,94.02
"Imphal                                            ,Manipur                                           ",24.81,93.94
"Saiha                                             ,Mizoram                                           ",22.48,92.97
"Aizawl                                            ,Mizoram                                           ",23.73,92.72
"Lunglei                                           ,Mizoram                                           ",22.88,92.73
"Bhadrakh                                          ,Odisha                                            ",21.05,86.52
"Puri                                              ,Odisha                                            ",19.81,85.83
"Keonjhargarh                                      ,Odisha                                            ",21.63,85.58
"Sonepur                                           ,Odisha                                            ",20.83,83.92
"Balasore                                          ,Odisha                                            ",21.49,86.93
"Kendraparha                                       ,Odisha                                            ",20.5,86.42
